Year,FertilityRate
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,2.98
1961,2.83
1962,2.72
1963,2.70
1964,2.57
1965,2.52
1966,2.34
1967,2.33
1968,2.24
1969,2.20
1970,2.20
1971,2.25
1972,2.24
1973,2.26
1974,2.26
1975,2.27
1976,2.30
1977,2.23
1978,2.21
1979,2.28
1980,2.28
1981,2.24
1982,2.34
1983,2.42
1984,2.37
1985,2.33
1986,2.22
1987,2.15
1988,2.13
1989,2.08
1990,2.06
1991,2.07
1992,1.95
1993,1.87
1994,1.81
1995,1.62
1996,1.59
1997,1.51
1998,1.44
1999,1.37
2000,1.37
2001,1.31
2002,1.25
2003,1.22
2004,1.23
2005,1.24
2006,1.27
2007,1.31
2008,1.39
2009,1.40
2010,1.41
2011,1.33
2012,1.33
2013,1.29
2014,1.32
2015,1.32
2016,1.39
2017,1.48
2018,1.46
2019,1.44
2020,1.39
2021,1.33
2022,1.29
2023,1.16
